name,net-worth
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alice Walton,72300000000
Alicia Koplowitz,3200000000
Alicia Koplowitz,3200000000
Alicia Koplowitz,3200000000
Aliko Dangote,13400000000
Aliko Dangote,13400000000
Aliko Dangote,13400000000
Aliko Dangote,13400000000
Aliko Dangote,13400000000
Aliko Dangote,13400000000
Aliko Dangote,13400000000
Aliko Dangote,13400000000
Aliko Dangote,13400000000
Aliko Dangote,13400000000
Aliko Dangote,13400000000
Aliko Dangote,13400000000
Aliko Dangote,13400000000
Alisher Usmanov,13400000000
Alisher Usmanov,13400000000
Alisher Usmanov,13400000000
Alisher Usmanov,13400000000
Alisher Usmanov,13400000000
Alisher Usmanov,13400000000
Alisher Usmanov,13400000000
Alisher Usmanov,13400000000
Alisher Usmanov,13400000000
Alisher Usmanov,13400000000
Alisher Usmanov,13400000000
Alisher Usmanov,13400000000
Alisher Usmanov,13400000000
Allan Wong,1100000000
Aloke Lohia,1500000000
Aloke Lohia,1500000000
Alpana Dangi,1200000000
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Amancio Ortega,1.03E+11
Ami Luttwak,1000000000
Amit Burman,1500000000
Amit Burman,1500000000
Amnon Shashua,1800000000
Amnon Shashua,1800000000
"Amos Hostetter, Jr.",3500000000
"Amos Hostetter, Jr.",3500000000
"Amos Hostetter, Jr.",3500000000
"Amos Hostetter, Jr.",3500000000
Amy Adams Strunk,2000000000
Amy Adams Strunk,2000000000
Amy Goldman Fowler,1100000000
Amy Wyss,2000000000
Amy Wyss,2000000000
An Kang,2500000000
An Kang,2500000000
An Kang,2500000000
Ana Lucia de Mattos Barretto Villela,1900000000
Ana Lucia de Mattos Barretto Villela,1900000000
Anand Burman,2200000000
Anand Burman,2200000000
Anand Deshpande,2300000000
Anand Deshpande,2300000000
Anand Mahindra,2900000000
Anand Mahindra,2900000000
Anand Mahindra,2900000000
Anand Surana,1200000000
Ananda Krishnan,4900000000
Ananda Krishnan,4900000000
Ananda Krishnan,4900000000
Ananda Krishnan,4900000000
Ananda Krishnan,4900000000
Anant Asavabhokhin,1100000000
Anatoly Sedykh,2600000000
Anatoly Sedykh,2600000000
Anatoly Sedykh,2600000000
Anders Holch Povlsen,12500000000
Anders Holch Povlsen,12500000000
Anders Holch Povlsen,12500000000
Anders Holch Povlsen,12500000000
Anders Holch Povlsen,12500000000
Anders Holch Povlsen,12500000000
Anders Holch Povlsen,12500000000
Anders Holch Povlsen,12500000000
Anders Holch Povlsen,12500000000
Anders Holch Povlsen,12500000000
Anders Holch Povlsen,12500000000
Anders Holch Povlsen,12500000000
Anders Holch Povlsen,12500000000
Andre Esteves,6600000000
Andre Esteves,6600000000
Andre Esteves,6600000000
Andre Esteves,6600000000
Andre Esteves,6600000000
Andre Esteves,6600000000
Andre Esteves,6600000000
"Andre Koo, Sr.",5200000000
"Andre Koo, Sr.",5200000000
"Andre Koo, Sr.",5200000000
"Andre Koo, Sr.",5200000000
"Andre Koo, Sr.",5200000000
Andrea Pignataro,27500000000
Andrea Pignataro,27500000000
Andrea Pignataro,27500000000
Andrea Pignataro,27500000000
Andrea Pignataro,27500000000
Andrea Pignataro,27500000000
Andrea Pignataro,27500000000
Andrea Pignataro,27500000000
Andrea Pignataro,27500000000
Andrea Pignataro,27500000000
Andrea Pignataro,27500000000
Andrea Pignataro,27500000000
Andrea Pignataro,27500000000
Andrea Pignataro,27500000000
Andrea Pignataro,27500000000
Andrea Pignataro,27500000000
Andrea Pignataro,27500000000
Andrea Pignataro,27500000000
Andrea Pignataro,27500000000
Andrea Pignataro,27500000000
Andrea Pignataro,27500000000
Andrea Pignataro,27500000000
Andrea Pignataro,27500000000
Andrea Pignataro,27500000000
Andrea Pignataro,27500000000
Andrea Pignataro,27500000000
Andrea Pignataro,27500000000
Andrea Pignataro,27500000000
Andreas Halvorsen,7200000000
Andreas Halvorsen,7200000000
Andreas Halvorsen,7200000000
Andreas Halvorsen,7200000000
Andreas Halvorsen,7200000000
Andreas Halvorsen,7200000000
